Right,Wrong 
Reply to Hep-th/0606265,String Theories Deformed by 'T Hooft Lines
From Planck to GUT via Dimensional Transmutation,Discrete Nahm's Equations
Algebraic Shape Invariant Models,Clever Approaches to the Confinement Problem
Phase Space Isometries and Equivariant Localization of Path Integrals in Two Dimensions,Canonical Singularities to All Orders
Vector-pseudoscalar Two-meson Distribution Amplitudes in Three-body $B$ Meson Decays,On a Topological Matrix Model Deformed by Hypersurface Operators
Periodic Euclidean Solutions of SU(2)-Higgs Theory,Models of Bubble Nucleation and Causality on Symplectic Taub-NUT Space
Crossing Symmetry Violation of Unitarized Pion-Pion Amplitude in the Resonance Region,Firewalls and Exclusive Loop Models of Holomorphic Branes
Can Symmetry Non-restoration Solve the Monopole Problem?,Progress in Integration Cycles in Type I Strings in the Presence of an Orientifold Plane
Coulomb and Core/halo Corrections to Bose-Einstein N-particle Correlations,Towards Surface Defects on the Surface of the Sun
Gauge Coupling Constant Unification With Planck Scale Values of Moduli,Understanding Abelian Feynman Diagrams
Abelian Dominance in Wilson Loops,Electric-duality in F-Theory vs Models of Dark Matter
On Hidden Symmetries in D=11 Supergravity and Beyond,The Matrix Extension of Large-N Models for D4 Branes and Equivariant Holographic-dualities
Probing Charge-Symmetry-Violating Quark Distributions in Semi-Inclusive Leptoproduction of Hadrons,Reconstructing Models of Long-lived Particles and Gromov-Witten Invariants on Hyperbolic Hirzebruch Surfaces
Higgs Mechanism in the Standard Model and a Possibility of Its Direct Physical Realization,Gromov-Witten Invariants in Twisted NCFTs Dimensionally Reduced on Superspace
Neutrino Masses and $B- Au$ Unification in the Supersymmetric Standard Model,Novel Approaches to the Cosmological Constant Problem
Grassmann Variables in Jordan Matrix Models,Cosmic Rays in Our Solar System as the Cosmic Coincidence Problem
Weak Corrections to Associated Higgs-Bottom Quark Production,Positrons and the Thermodynamics/QED_3 Correspondence
Complete One-loop Corrections to Decays of Charged and CP-even Neutral Higgs Bosons Into Sfermions,B-mesons in a Boundary-dual of QCD_3 With a Triplet Fermion Near D5 Instantons
Antibaryon Density in the Central Rapidity Region of a Heavy Ion Collision,Integrability in Type IIB
J/psi D*D* Vertex From QCD Sum Rules,An Analytic Continuation of Symplectic Quotients in N=5 Matrix Models Dimensionally Reduced on the Conformal Boundary of C^m Using Clarifying F-Theory Surrounded by a Near-extremal Black Brane
Energy and Angular Distribution of Upward UHE Neutrinos and Signals of Low Scale Gravity: Role of Tau Decay,Diffractive Events in a Deformed TQFT Far From a NS5 Instanton in a New Resolution of the Lithium Problem
A Classical Manifestation of the Pauli Exclusion Principle,Kaons vs a Holomorphic Brane Wrapping a R^n
Isgur-Wise Function From Bethe-Salpeter Amplitude,The Space of Local Operators
A Phenomenological Theory of Fermion Masses and Mixings,Old Large Black Holes Discovered Using Integrable Hierarchies
Semitopological Q-Rings,Crunches in Models of Instanton Gas Are Inconsistent
Darboux Transformation for a General Dirac Equation in Two Dimensions,Quasinormal Modes Checked via Type-1 Factors
Gravitational Waves in a Codimension Two Braneworld,A Compactification of Quasimodular Forms in the CP1 Model and a Small Fat Massive Black Hole in Our Solar System
Dilatonic Monopoles From (4+1)-dimensional Vortices,D8 Branes Wrapped on T^n X AdS_n X R^5 X R^5 at the Tevatron and the Momentum-dependent Law in Witten-Moore Hydrodynamics
Two-loop Anomalous Dimensions of Heavy Baryon Currents in Heavy Quark Symmetry,Geometric Langlands-duality in Heterotic String Theory Deformed by Chern-Simons Terms as Trivial Vortices
Comparing Energy Loss Phenomenology,Bohr-Stueckelberg and Me
Orbiting Strings in AdS Black Holes and N=4 SYM at Finite Temperature,Jackiw-Teitelboim Gravity
Gauged Vortices in a Background,Seiberg-duality in Models of Instanton Liquids
On the Octonionic M-superalgebra,Left-right Unified Fluctuations at the Stretched Horizon
Total $Gamma^*$ P Cross Section,Instantons Reconsidered
Squarks in Tevatron Dilepton Events ?,Nonperturbative N=7 N=8 Unparticle Physics on RS1 Backgrounds of SO(m) Holonomy
The Effective Action of W_3-gravity,An U-dual of the Non-singular Landau-Ginzburg Model
"The Structure of the Troika: Proton, Photon and Pomeron, as Seen at HERA",Superconformal NCFTs Dimensionally Reduced on Projective Hirzebruch Surfaces
Regge Trajectories and Quarkonium Spectrum From a First Principle Salpeter Equation,The Fine-tuning Problem
The Superintegrable Chiral Potts Quantum Chain and Generalized Chebyshev Polynomials,Anomaly Matching in a Matrix Model in the Presence of Instantons and Three-fluid Fluctuations at the Planck Scale
Vector Boson Pair Production in E-e- Collisions With Polarized Beams,A Model for Supergravity Inflation and Constraints on the Hayden-Preskill Protocol in Exactly-soluble Models of Ferromagnetic Fluctuations
Supersymmetry Breaking in Superstring Theory by Gaugino Condensation and Its Phenomenology,A Bound on Examples of the Omega Deformation and General Harmonic Analysis
Supersymmetric Radiative Corrections to Neutrino Indices of Refraction,On the Formulation of Clebsch-Gordon Decomposition in Technicolor
Effective Field Theory and Heavy Quark Physics,The Cosmic Coincidence Problem vs the LHC Inverse Problem
Implications of CKM Unitarity on the Search for New Physics in B Meson Decays,Topologically Twisted NCFTs Deformed by Hypersurface Operators
Four-Parameter Point-Interaction in 1-D Quantum Systems,Non-minimal Approaches to the Naturalness Problem
Notes on SUSY and R-Symmetry Breaking in Wess-Zumino Models,Reviewing Higgses: Toda QCD
Self-duality Equations for Spherically Symmetric SU(2) Gauge Fields,Large Logarithms in F-Theory on Moduli Spaces of ALE Riemann Surfaces
A Minimal Superstring Standard Model II: A Phenomenological Study,Discrete Gopakumar-Vafa Invariants Realized From Automorphic Forms
Instability in Cosmological Topologically Massive Gravity at the Chiral Point,The B-type Brane Solution of String Theories and a Magnetic-dual of Topological Strings Supported on Planar K3s
Heavy Top Quark From Fritzsch Mass Matrices,From the Quantum Dynamics/QCD Correspondence to Cosmic Rays in the Early Universe
Integrable Many-body Problems From the Field Theories,Fractional D7 Branes on the Surface of the Sun
The Trans-Planckian Problem for Inflationary Cosmology Revisited,Analyzing Models of Cosmic Rays
A Renormalization Procedure for Tensor Models and Scalar-tensor Theories of Gravity,Toda NCFTs Supported on P^n
Scalar Quartic Effective Action on $AdS_5$,A-type Instantons
Induced Gravity and Entanglement Entropy of 2D Black Holes,Feynman Diagrams in a Deformed Matrix Model
Nonperturbative QCD Efects in Weak Hadronic Decays,A Novel Solution of Type IIA via Firewalls
An Infinite Dimensional Symmetry Algebra in String Theory,Unconventional Models for Cosmic Rays Using F-Theory Deformed by Chern-Simons Terms
Minimal Flavour Violation and Multi-Higgs Models,A Test of a Probe of a Solution of Currents in a Multi-field Model With Hexaquarks From Black Hole Evaporation (Including Duality in Heterotic String Theory on a Line Bundle Over T^6 Fibered Over the Near Horizon Geometry of a S^m Bundle Over dS_4) From Bubbles in the CMB as S-duality in Arkani-Hamed-Vafa Gravity (Taking Into Account Crunches)
Linear Potentials and Galactic Rotation Curves,A Resolution of the Lithium Problem
Cosmic P-branes,N=8 CFTs Supported on Taub-NUT Space
Flavor Mass and Mixing and S_3 Symmetry -- an S_3 Invariant Model Reasonable to All --,The Formulation of Models of Noise-induced Inflation
Instability of the Perturbation Theoretical Chromodynamic Vacuum,Models of Heavy Ions Are Longitudinal
The Matrix Theory S-Matrix,Towards Instanton Gas at the De-Sitter Horizon
Nonperturbative Mechanisms of Strong Decays in QCD,Geometric Langlands-dualities on R^n
Topological M-theory as Unification of Form Theories of Gravity,CERN Winter School Lectures on Harmonic Analysis
Herwig++ 2.3 Release Note,Comments on Representation Theory in Chiral Matrix Models
Quasi-quantum Groups From Strings,A Certain Notion of Semidefinite Programming (Taking Into Account a Holomorphic Instanton)
Stretching the Horizon of a Higher Dimensional Small Black Hole,On Data From CDMS
Lie Algebras of Order F and Extensions of the Poincaré Algebra,TASI Lectures on an Analytic Continuation of Path Integrals in Invertible Matrix Models Far From Massive Black Branes Formed From Collapse
Invisible Z Decay Width Bounds on Active-sterile Neutrino Mixing in the (3+1) and (3+2) Models,A Particle Analytic Continuation of N=7 Supergravity With General Superpotential
The Supersymmetric Higgs,Instantons
M-Theory on Seven Manifolds With G-fluxes,String Theory Far From a Black Brane Probe (Involving Heterotic String Theory )
Extending the Study of the Higgs Sector at the LHC by Proton Tagging,Comments on a Cosmic Rays Formulation of Topological Strings (Excluding Fractional D2 Branes at 6 Loops)
IIB Supergravity Revisited,Polyakov-Sundrum's Equations on P^m Reconsidered
Chiral Expansion From Renormalization Group Flow Equations,Harmonic Analysis
"The Hartree Ensemble Approximation Revisited: The ""Symmetric Phase""",Gravitational-duality in Type IIA Supported on T^n and Firewalls
Nets of Subfactors,General SO(8) Characters as Some Little-known Computations of the Supergravity/QED_3 Correspondence
Brane New World,The Boundary-dual of Topological Strings Dimensionally Reduced on Harmonic Rational Surfaces
${Cal O}(alpha^2 L^2)$ Radiative Corrections to Deep Inelastic $Ep$ Scattering for Different Kinematical Variables,From Demystifying Matrix Gauge Mediation to Reisner-Nordstrom Black Holes at the Center of the Galaxy
Q-Quaternions and Q-deformed Su(2) Instantons,Duality on CY_8
Tree Amplitudes and Linearized SUSY Invariants in D=11 Supergravity,Effects of the Partition Function in Models of Instanton Gas Are Higher-order
Precise Variational Tunneling Rates for Anharmonic Oscillator With G<0,The Patch Inflationary Compactification of Models of Bubbles
Nuclear Transparency in a Relativistic Quark Model,W-bosons as Tensor Networks at the Intermediate Scale
$Xi^-$ and $Ømega$ Distributions in Hadron-Nucleus Interactions,Some Little-known Frameworks of the Extension of a Scalar Field Model for Canonical Co-isotropic Branes Reconsidered
Quantum Phase and Quantum Phase Operators: Some Physics and Some History,Harmonic Analysis on Klebanov-Strassler Backgrounds of E_6 Holonomy
On Large Final-State Phases in Heavy Meson Decays,Explaining Positrons: A Check of a Hypersurface Defect
Radiative Decays of Mesons in the Quark Model: Relativistic and Non-relativistic Approaches,Reconstructing Topologically Twisted NCFTs Near Firewalls: A Stable Technique
Possible Effects of Quark and Gluon Condensates in Quarkonium Spectra,Two-sided Black Holes Formed From Collapse
Signatures of Axinos and Gravitinos at Colliders,Anomaly Matching
Color Superconductivity in Schwinger-Dyson Approach -- Strange Quark Mass and Color-Flavor Unlocking Line --,Progress in Causality Constraints
"Quantum Gravity, Gauge Coupling Constants, and the Cosmological Constant",Dimensionality and a Certain Notion of Representation Theory
Model Theory and the AdS/CFT Correspondence,Clever Approaches to the Hierarchy Problem
Anomalous Single Production of the Fourth Generation Quarks at the LHC,Strings School Lectures on Metrics in GR With Discrete Superpotential
Investigating Light Neutralinos at Neutrino Telescopes,A Resolution of the Mu/B_mu Problem Reexamined
The Sphaleron Rate: Where We Stand,Progress in Large-N Fluctuations at N Loops
Solitosynthesis of Q-balls,Seesaw Large Mass Approaches to the Mu/B_mu Problem
"String Field Theory, Non-commutative Chern-Simons Theory and Lie Algebra Cohomology",PDFs in Phenomenological Technicolor
The Group Structure of Non-Abelian NS-NS Transformations,A Certain Notion of Anomaly Matching
QCD Corrections to Inclusive Distributions of Leptons in Decays of Polarised Heavy Quarks,An Instanton
Electroweak Symmetry Breaking Due to Confinement,From Sudakov Logs in Facilitated Inflation to U-dualities on the Moduli Space of Del-Pezzos
Low X Particle Spectra in the Modified Leading Logarithm Approximation,The S-dual of F-Theory Living on Noncommutative De Sitter Space Maximizes the Physical Solution to the Strong CP Problem From Discrete Donaldson Polynomials
Radiative and Isospin-violating Decays of Ds Mesons in the Hadrogenesis Conjecture,Towards Neutralinos
1/8 BPS Black Hole Composites,Sheaf Cohomology on T^m
Tau Polarisation and Its Correlations as a Signal for Higgs Bosons - Universal Spin Interface for TAUOLA Package,A Measurement of S-duality in Topological String Theory Surrounded by Black Branes via Abelian Hyperkahler Quotients
Inverse Bremsstrahlung Contributions to Drell-Yan Like Processes,Models of Instanton Gas
Searches for Scalar and Vector Leptoquarks at Future Hadron Colliders,Deriving Hexaquarks: Anomalies
New Physics Search at the LHC via Z' Resonance,A Model of Instanton Gas and Flow Equations on Affine Bundles Over S^1 Bundles Over a Linear Dilaton Background Fibered Over N Copies of dS_n
Testing the Unitarity of the CKM Matrix With a Space-Based Neutron Decay Experiment,Z-bosons
"(F,Dp) Bound States From the Boundary State",Bounds on Hadron Mixing in a Model for Instanton Liquids and Axions
Introduction to Thermal Field Theory,The Formulation of Causality in Type IIA Surrounded by Hypersurface Defects Maximizes a Check of a Reduction of Clebsch-Gordon Decomposition in Models of Entanglement Entropy
Is Classical Reality Completely Deterministic?,Surface Defects Are Spontaneously-broken Diffeomorphism Invariant
String Theory Extensions of Einstein-Maxwell Fields: The Static Case,The MSSM/CFT Correspondence in a Resolution of the Lithium Problem
Relativistic Effects in Two-Body Systems: Pi- and K-mesons and Deuteron,Extending Cosmic Censorship in N=8 Jackiw-Teitelboim Gravity Surrounded by Fractional D7 Branes Wrapped on the Near Horizon Geometry of an E_7 Orbifold of a Planar Calabi-Yau N-fold Fibered Over Anti De Sitter Space: Metrics on Taub-NUT Space
On the Transfer of Metric Fluctuations When Extra Dimensions Bounce or Stabilize,Reformulating a Measurement of an Instanton via Geometric Langlands-duality in F-Theory
Double-diffractive Processes in High-resolution Missing-mass Experiments at the Tevatron,Towards a Computation of a Minimal Compactification of the Schwartzian Theory From the Analytic Continuation of Higher-order Models
Nonperturbative Newtonian Coupling in Einstein Gravity With Dirac Fields,Sheaf Cohomology
Giant Gravitons in AdS/CFT (I): Matrix Model and Back Reaction,Type IIB Strings Reconsidered
Isolated-photon Production in Polarized Pp Collisions,Type I Strings Near Conical Singularities
"Probability Distributions and Coherent States of $B_r$, $C_r$ and $D_r$ Algebras",A Certain Notion of Unitarity
Chern-Simons Violation of Lorentz and PCT Symmetries in Electrodynamics,Comments on Harmonic Analysis in M-Theory on a CY_2 Bundle Over an ALE Fibration
Bulk Fields in AdS_5 From Probe D7 Branes,Instanton Liquids at the Edge of Our Universe
Torsional Topological Invariants (And Their Relevance for Real Life),A S-dual of Models of W-bosons (Including a Certain Notion of Clebsch-Gordon Decomposition)
The Compatibility Between the Higher Dimensions Self Duality and the Yang-Mills Equation of Motion,A N-dimensional N=2 TQFT on an Affine Bundle Over dS_n
Pseudoclassical Neutrino in the External Electromagnetic Field,"Metrics in Topological Strings Far From Hypersurface Defects, Firewalls in the Interstellar Medium, and the C^n/Unruh-Silverstein Dynamics Correspondence"
The Evolution of a Network of Cosmic String Loops,Equivariant Hitchin-Sundrum Points
Polarization Buildup of Stored Protons and Antiprotons: Filtex Result and Implications for Pax at Fair,M-point Correlators as NS5 Instantons
Relaxation of the Cosmological Constant at Inflation?,Deriving Dark Matter at the Edge of Our Universe: Orientifold Planes
Noncommutative Solitons and Integrable Systems,Progress in Dark Energy on the Surface of the Sun
Noncommutative QED and the Lifetimes of Ortho and Para Positronium,From a Determination of Bubble Nucleation at the Center of the Galaxy via Models of Magnons to Topological Strings
Photon Emission in a Hot QCD Plasma,The Anomaly Mediation/CFT Correspondence
Matching Heavy-quark Fields in QCD and HQET at Three Loops,"Inflation at the Planck Scale, a Check of the Cosmological Constant Problem From Neutrinos, and a Generalized HKS Bound"
Double Scaling Limit of the Supervirasoro Constraints,Currents on the Near Horizon Geometry of T^5 and a Solution to the Naturalness Problem
Determination of the Axial Coupling Constant $G_A$ in the Linear Representations of Chiral Symmetry,Instantons
Summary of the Theory Part of the International Conference on Elastic and Diffractive Scattering,Integration Cycles on P^n
Noncommutative Lattices as Finite Approximations and Their Noncommutative Geometries,Du Val Singularities at the Center of the Galaxy
More on La Grande Bouffe: Towards Higher Spin Symmetry Breaking in AdS,Comments on a Check of Confinement via Nontrivial Structure in N=2 Supergravity on an Exotic ALE Fibration Fibered Over a Hirzebruch Surface
/_C+ - /_C- Production Asymmetries in Two Component Models,On a Determination of Geometric Langlands-duality in M-Theory Deformed by Chern-Simons Terms From a Surface Defect
A Simultaneous Solution to Baryogenesis and Dark Matter Problems,Unstable Particles in a Check of the Landau-Ginzburg Model/anomaly Mediation Correspondence From Type IIB Strings Deformed by Wilson Lines
Anisotropic Flow of Strange Particles at RHIC,"Seiberg-duality in M-Theory Surrounded by a (P,q) 7- Brane Wrapping a dS_n"
SUSY Predictions for the LHC,N=m Supergravity (Involving Donaldson-Witten Invariants on Enriques Surfaces With Superconformal Symmetric Homology) From the U-dual of Bosonic Strings Living on Affine Bundles Over dS_n
Supersymmetric 3-branes on Smooth ALE Manifolds With Flux,Gerbs on R^n
Lagrangian and Covariant Field Equations for Supersymmetric Yang-Mills Theory in 12D,The Longitudinal Extension of Twisted NCFTs
Neutrino Mixing Predictions of a Minimal SO(10) Model With Suppressed Proton Decay,Dark Matter at the GUT Scale
Generalised $G_2$-structures and Type IIB Superstrings,A Probe of a Certain Notion of Integrability Using a Measurement of a Model of Bubbles (Including Gromov-Witten Invariants in Type IIB on R^m) as the Cosmological Constant Problem
"Background for Terrestrial Antineutrino Investigations: Radionuclide Distribution, Georeactor Fission Events, and Boundary Conditions on Fission Power Production",A Fractional D3 Brane Probe and Random Tensors
The Spectral Action Principle in Noncommutative Geometry and the Superstring,Dark Matter at the Weak Scale Checked Using Type-1 Factors
Unparticle Effects on Top Quark Pair Production at Photon Collider,Geometric Transitions in a Topological Effective Field Theory vs Equations of String Theories on the Moduli Space of Hyperbolic Symmetric Spaces Fibered Over S^n Fibered Over P^4 X dS_7 in Topological Conformal Field Theories Surrounded by A-type Branes
DBI-essence,Examples of Von-Neumann Entropy as Magnons
The Local Potential Approximation of the Renormalization Group,Nontrivial Integrability
QCD Radiative Corrections to Prompt Diphoton Production in Association With a Jet at Hadron Colliders,A Probe of Localization (Excluding Reviewing Heterotic String Theory on CY_n)
Strange Sea Asymmetry From Global QCD Fits,Jerusalem Lectures on Type I Strings
New Results in Topological Field Theory and Abelian Gauge Theory,A Stack of Fractional D3 Branes
Tests of Lorentz Invariance Using Hydrogen Molecules,Duality on T^m as Representation Theory on Moduli Spaces of 4-manifolds
Branes Intersecting at Angles,On Broken Broken Translation Symmetry Breaking in Models of Dions
An Infinite Number of Static Soliton Solutions to 5D Einstein-Maxwell Equations,Pions and Firewalls
Some Comments on N=1 Gauge Theories From Wrapped Branes,"E_8 Singularities, Large Logarithms, and Topologically Twisted CFTs"
Chiral Perturbation Theory,Feynman Diagrams on P^n
A Lagrangean Formalism for Hermitean Matrix Models,The Hayden-Preskill Protocol Catastrophe
The Transformations of Non-abelian Gauge Fields Under Translations,"An Anomaly Mediated Model of Tensor Networks, the Formulation of Type IIA, and the Solution of Dimensionality in Perturbative Matrix Models"
Stabilizing Textures in 3+1 Dimensions With Semilocality,A Certain Notion of Perturbation Theory
Static Color-Coulomb Force,A Resolution of the Mu/B_mu Problem
The MSSM Golden Region and Its Collider Signature,From a Line Defect in Our Solar System to Correlators of Quasi-primary Operators in BPS Models for Quintessence
Noether and Topological Currents Equivalence and Soliton/particle Correspondence in Affine $Sl(2)^{(1)}$ Toda Theory Coupled to Matter,On Prompt Magnon Mixing
"Correlation Between Delta M_s and B^0_{s,d} --> Mu^+ Mu^- in Supersymmetry at Large Tan Beta",Topological Matrix Models and a Black Brane Formed From Collapse at the GUT Scale
On the Dynamical Breaking of Chiral Symmetry: A New Mechanism,Anthropic Approaches to the Strong CP Problem
Affine Toda Systems Coupled to Matter Fields,The Compactification of Models of Bubbles in Hypersurface Defects at the Edge of Our Universe
Spinor Representation of the General Lorentz Group for Spin 1/2 Particles and CPT,Anthropic Approaches to the Fine-tuning Problem
Compatibility of CAST Search With Axion-like Interpretation of PVLAS Results,Soft Theorems in Topological String Theory on C^7 Reexamined
2HDMC - Two-Higgs-Doublet Model Calculator,Remarks on E_7 Characters in Perturbative JT Gravity
S-duality and Tensionless 5-branes in Compactified Heterotic String Theory,Extending Topological Strings: A General Technique
Implications of Precision Electroweak Measurements for the Standard Model Higgs Boson,Analyzing the BF Theory: N=6-dualities in Superconformal QED_3
Tau Energy Losses at Ultra-high Energy: Continuous Versus Stochastic Treatment,Geometric Langlands-duality in a Model for Bubbles vs E_7 Symmetric Magnetic-duality
Two Chiral Nonet Model With Massless Quarks,Causality
Thermodynamics of Black Holes in Schroedinger Space,A NS5 Brane Wrapping an AdS_m in the Asymmetric SUSY SYK Model
Seiberg-Witten Curve for E-String Theory Revisited,Complementarity Is Not Enough
The Rest-Frame Instant Form of Relativistic Perfect Fluids and of Non-Dissipative Elastic Materials,A Resolution of the Hierarchy Problem
Nonequilibrium Effects and Baryogenesis,Oscillating Inflation at SNO
A Texture of Neutrino Mass Matrix in View of Recent Neutrino Experimental Results,Quantum Approaches to the SUSY CP Problem
A New Perspective to Cosmic Evolution and Vacuum Selection on a Superspace,Melonic Diagrams vs Perturbation Theory
A Quantum Integrable System With Two Colour-Components in Two Dimensions,"Some Little-known Frameworks of a Stack of Special Lagrangian Branes Wrapping a C^n, Models of Spacetime Foam, and a Certain Notion of Causality"
MSSM Flat Direction as a Curvaton,Vanishing \Z_n Characters
Holographic Probes of Anti-de Sitter Spacetimes,A Certain Notion of Dimensionality as Boundary-duality in F-Theory on Riemann Surfaces
Comparison of SANC With KORALZ and PHOTOS,Surveying Heavy Ions: A Next-to-leading Formalism
"SIGNALS FOR MINIMAL SUPERGRAVITY AT THE CERN LARGE HADRON COLLIDER: MULTI-JET PLUS MISSING ENERGY CHANNEL,",Sudakov Logs in Models of Dions and a Certain Notion of Localization
On the Covariant Quantization of Type II Superstrings,A Check of the N=m-dual of Metastable Models Reconsidered
Universal Extra Dimensions and Kaluza-Klein Bound States,A Certain Notion of Unitarity vs Causality Constraints
Meanders and the Temperley-Lieb Algebra,A Solution to the Confinement Problem via Some Little-known Frameworks of a Certain Notion of Duality and Firewalls
SM Scalar and Extra Singlet(s),Magnetic-duality on C^m
Baryon Antibaryon Nonets,Fragmentation Functions in GR Surrounded by Instantons and Cosmic Rays at CDMS
QJT as a Regularization: Origin of the New Gauge Anomalies,Firewalls
Induced Top Yukawa Coupling and Suppressed Higgs Mass Parameters,Polynomial Inflation From a Firewall
On the Origin of Neutrino Flavour Symmetry,Scattering Equations in an Extremal TQFT via Orbifold Singularities
Quantum Decoherence of Photons in the Presence of Hidden U(1)s,"Nonlocal Operators on Anti De Sitter Space, Spacetime Foam at Bicep II, and Models of Bubbles"
Brane Cosmology in the Background of D-Brane With NS B Field,Bounding the Compactification of F-Theory Deformed by Hypersurface Operators
Entropy and Temperature of Black 3-Branes,Probable Approaches to the Lithium Problem
Localisation and Mass Generation for Non-Abelian Gauge Fields,Conical Singularities at the Intermediate Scale Derived From Maxwell-Randall Points
Summing the Instantons: Quantum Cohomology and Mirror Symmetry in Toric Varieties,Equivariant Donaldson-Witten Invariants
Gravitational Corrections to Standard Model Vacuum Decay,Type I Strings Far From Eternal Black Branes Formed From Collapse as an Analytic Continuation of Anomaly Matching in Bosonic Strings Deformed by Hypersurface Operators
Dynamical Formation of Spherical Domain Wall by Hawking Radiation and Spontaneous Charging-up of Black Hole,From a Test of Nonvanishing Sheaf Cohomology From Boundary-duality in Toda TQFTs Near an Instanton to Boundary GR
Hopf Structure in Nambu-Lie N-Algebras,General Relativity via Duality
NNLO QCD Predictions for the H -> WW -> L L Nu Nu Signal at the LHC,Models of Quintessence Are General
"Strings in Background Electric Field, Space/Time Noncommutativity and a New Noncritical String Theory",A Solution to the Mu Problem in Bounds on Renormalization
The C-Odd Four-Gluon State in the Color Glass Condensate,Investigating Parent Models of Dark Energy
Dark Matter in the Galaxy,Hypersurface Defects
Genesis Cosmology,"Vanishing Donaldson Polynomials, Reviewing Bosonic Strings, and Magnetic-duality in Adjoint GR on an Affine Bundle Over 5 Copies of C^m"
A Study of the Scenario With Nearly Degenerate Majorana Neutrinos,Type IIA Strings on C^m in Vortices on N-folds
Quantum Corrections to Energy of Short Spinning String in AdS5,Studying a Probe of the Dilation Algebra From Some Specific Investigations of Black Branes Wrapped on a Harmonic Enriques Surface at the Planck Scale: A Nonlinear Technique
Application and Explicit Solution of Recurrence Relations With Respect to Space-time Dimension,Seiberg-duality in the Schwartzian Theory
Necessary and Sufficient Conditions for Non-perturbative Equivalences of Large N Orbifold Gauge Theories,Soft Theorems and Gromov-Witten Invariants on Anti De Sitter Space
Current Status of Neutrino Masses and Mixings,BMS Supertranslations in Heterotic Strings Revisited
Einstein Gravity on an Even Codimension Brane,"Black Branes at the Intermediate Scale, Nonperturbative Vacua in Models of Quintessence, and First-order Processes"
Higgs Theory and Phenomenology in the Standard Model and MSSM,Towards the AdS_m/C^m Correspondence
On the Equivalence of Fermionic String to Bosonic String in Two Dimensions,Cargese Lectures on Equations of Deformed NCFTs
Superstring Theory and CP- Violating Phases: Can They Be Related?,The Analytic Continuation of First-order Inflation Implements Integrability on Sp(n) Quotients of Ricci-flat Klebanov-Strassler Backgrounds Fibered Over C^4
Charged Lepton Mass Relations in a Supersymmetric Yukawaon Model,Obtaining a Superconformal Matrix Model Living on T^m
QCD Matrix Elements + Parton Showers,Anomalous Dimensions in First-order Unparticle Physics
New Gauge Interactions and Single Top Quark Production,Remarks on T-duality in M-Theory Deformed by Local F-terms
Experimental Probes of the Randall-Sundrum Infinite Extra Dimension,A Quantum Approach to the Cosmological Constant Problem via a Reduction of Localization in Extremal Jackiw-Teitelboim Gravity Far From D8 Branes Wrapping a dS_m
Bayesian Statistics at Work: The Troublesome Extraction of the CKM Phase Alpha,Bounds on Equations of QED_3 With a Primary Operator on Line Bundles Over P^n in a Warped Model of Acoustic Fluctuations and Surface Defects
Topological and Universal Aspects of Bosonized Interacting Fermionic Systems in (2+1)d,A Prediction of Quintessence in the Interstellar Medium
New Gauge Invariant Formulation of the Chern-Simons Gauge Theory,Remarks on a Certain Notion of Perturbation Theory
Renormalization Group Functions for the Wess-Zumino Model: Up to 200 Loops Through Hopf Algebras,Examining 6-form Symmetric Localization: An Inertial Conjecture
Time and the Evolution of States in Relativistic Classical and Quantum Mechanics,Isocurvature Parameters and Extending Scalar Models With Prompt Kk Gravitons
Renormalization Flow From UV to IR Degrees of Freedom,Gravitational-duality in Models of Pions Implemented via Flow Equations
Effects of the $U_A(1)$ Anomaly on $Eta O 2 Gamma$ Decay,Entropy in Condensate Models With Solitons
"A Unified Approach to NNLO Soft and Virtual Corrections in Electroweak, Higgs, QCD, and SUSY Processes",Equivariant Anomaly Matching
Superposition Models and the Multiplicity Fluctuations in Heavy Ion Collisions,Formulating Index Theorems in Type IIA Strings
Charmonium Dynamics in dA and AA at RHIC and LHC,Black Holes Formed From Collapse Obtained From Modular Forms
Indirect Probes of New Physics,Firewalls and Some Little-known Cases of Models of Electrons
Photoproduction of $J/psi$ in Association With a $C\barc$ Pair,Generalizing Heisenberg Thermodynamics
Solution of the Dirac Equation With Non-minimal Coupling to Noncentral Three-vector Potential,Non-anthropic Loop Models and Vanishing Equivariant Structures
Two-component Colour Dipole Emission in the Central Region of Onium-onium Scattering,Progress in a Model of Tensor Networks
QCD Sum Rules vs. Chiral Perturbation Theory,"Boundary-duality in Models of Bubbles, Integrability on the Moduli Space of N Copies of T^2 Fibered Over Planar K3s, and the Formulation of Quasimodular Forms in Adjoint Perturbative Yang-Mills Theories Deformed by Heavy D-terms"
News About Nu's,"The Non-curvaton Formulation of WZW CFTs Living on R^n, Non-abelian Perturbation Theory, and Semidefinite Programming on C^7"
The Synergy of the Golden and Silver Channels at the Neutrino Factory,Unitarity on AdS_1
Confining Properties of the Classical SU(3) Yang - Mills Theory,Comment on a Proposal by Poincare
"M-theory and E10: Billiards, Branes, and Imaginary Roots",Non-abelian Einstein's Equations
New Mechanisms of Gauge-Mediated Supersymmetry Breaking,"Vortices on Line Bundles Over AdS_n, the Compactification of Heterotic String Theory, and the Analytic Continuation of Minimal Models"
Towards a Complete Theory of Thermal Leptogenesis in the SM and MSSM,Orientifold Planes and the QED/S^n Correspondence
Shift Operator for Nonabelian Lattice Current Algebra,N=9 Chern-Simons Theories Deformed by Half-BPS F-terms
